index,artist,title,medium,year,width,height,gender,artistBirthYear,acquisitionYear,url
17213,"Beuys, Joseph","Joseph Beuys: Ja, jetzt brechen wir hier den Schei<df> ab'. Galerie Rene Block, Berlin",Print on paper,1979,0.42,0.593,Male,1921,2009,http://www.tate.org.uk/art/artworks/beuys-joseph-beuys-ja-jetzt-brechen-wir-hier-den-schei-ab-galerie-rene-block-berlin-ar00774
17214,"Simmons, Laurie",New Bathroom/ Woman Standing/ Sunlight,"Photograph, colour, Cibachrome print, on paper",1979,0.077,0.119,Female,1949,2010,http://www.tate.org.uk/art/artworks/simmons-new-bathroom-woman-standing-sunlight-p79891
17215,"Flanagan, Barry",Cornish BuB,Oil paint on granite,1979,0.558,0.32,Male,1941,2011,http://www.tate.org.uk/art/artworks/flanagan-cornish-bub-t13346
17216,"Hamilton, Richard",Motel II,Etching and aquatint on paper,1979,0.438,0.562,Male,1922,2012,http://www.tate.org.uk/art/artworks/hamilton-motel-ii-p80004
17217,"Cluett, Shelagh",Shive III,"Steel and copper rods, wood, steel and copper wire, paraffin wax, paint and nylon string",1979,2.44,0.88,Female,1947,2012,http://www.tate.org.uk/art/artworks/cluett-shive-iii-t13598
17218,"Cluett, Shelagh",Flux III,"Steel, bitumen, latex, clay and cotton string",1979,2.43,0.95,Female,1947,2012,http://www.tate.org.uk/art/artworks/cluett-flux-iii-t13600
17219,"Cohen, Lynne",Furniture Showroom,"Photograph, gelatin silver print on paper",1979,0.19,0.245,Female,1944,2012,http://www.tate.org.uk/art/artworks/cohen-furniture-showroom-p80096
17220,"Hashmi, Zarina",I Whispered to the Earth,Cast paper,1979,0.587,0.588,Female,1937,2013,http://www.tate.org.uk/art/artworks/hashmi-i-whispered-to-the-earth-t13727
17221,"Hashmi, Zarina",Wall II,Cast paper,1979,0.597,0.587,Female,1937,2013,http://www.tate.org.uk/art/artworks/hashmi-wall-ii-t13728
17222,"Hore, Somnath",Wounds - 42,Moulded paper,1979,0.505,0.622,Male,1921,2013,http://www.tate.org.uk/art/artworks/hore-wounds-42-p80265
17223,"Fosso, Samuel",Untitled,Gelatin silver print on paper,1979,0.148,0.149,Male,1962,2013,http://www.tate.org.uk/art/artworks/fosso-untitled-p80188
17224,"Fosso, Samuel",Untitled,Gelatin silver print on paper,1979,0.148,0.149,Male,1962,2013,http://www.tate.org.uk/art/artworks/fosso-untitled-p80189
17225,"Fosso, Samuel",Untitled,Gelatin silver print on paper,1979,0.148,0.149,Male,1962,2013,http://www.tate.org.uk/art/artworks/fosso-untitled-p80190
17226,"Fosso, Samuel",Untitled,Gelatin silver print on paper,1979,0.148,0.149,Male,1962,2013,http://www.tate.org.uk/art/artworks/fosso-untitled-p80191
17227,"Fosso, Samuel",Untitled,Gelatin silver print on paper,1979,0.148,0.149,Male,1962,2013,http://www.tate.org.uk/art/artworks/fosso-untitled-p80192
17228,"Alechinsky, Pierre",Jumbled Ephemerides,Etching on paper,1980,1.68,0.899,Male,1927,1981,http://www.tate.org.uk/art/artworks/alechinsky-jumbled-ephemerides-p07522
17229,"Atkinson, Conrad",For Wordsworth; for West Cumbria,"16 works on hardboard and card, photograph, acrylic paint, iron ore and coal",1980,0.521,0.622,Male,1940,1981,http://www.tate.org.uk/art/artworks/atkinson-for-wordsworth-for-west-cumbria-t03229
17230,"Bartlett, Jennifer",At Sea Japan,Woodcut and screenprint on paper,1980,0.571,2.545,Female,1941,1981,http://www.tate.org.uk/art/artworks/bartlett-at-sea-japan-p07443
17231,"Berber, Mersad",Byzantium I,Screenprint on paper,1980,1.2,0.8,Male,1940,1981,http://www.tate.org.uk/art/artworks/berber-byzantium-i-p07583
17232,"Borofsky, Jonathan","Untitled at 2,660,260",Ink on paper,1980,0.106,0.241,Male,1942,1984,http://www.tate.org.uk/art/artworks/borofsky-untitled-at-2660260-t03908
