index,url,name,appearances,current,sex,join_date,join_year,years,status,death ,return,Notes
13,http://marvel.wikia.com/T%27Challa_(Earth-616),T'Challa,780,NO,male,May-68,1968,55,full,no_death,no_return,NA
14,http://marvel.wikia.com/Vision_(Earth-616),Victor Shade (alias),1036,YES,male,Nov-68,1968,55,full,death,return,Dies in Avengers_Vol_1_500. Is eventually rebuilt. 
15,http://marvel.wikia.com/Dane_Whitman,Dane Whitman,482,NO,male,Dec-69,1969,54,full,no_death,no_return,NA
16,http://marvel.wikia.com/Natalia_Romanova_(Earth-616)#,Natalia Alianovna Romanova,1112,YES,female,May-73,1973,50,full,death,return,Killed by The Hand. Later revived with The Stone of the Chaste. 
17,http://marvel.wikia.com/Mantis_(Earth-616)#,Brandt,160,NO,female,Aug-73,1973,50,full,death,return,"Dies in Silver_Surfer_Vol_3_3. Actually ""fragments of her essence were spread out all across the universe"""
18,http://marvel.wikia.com/Henry_McCoy_(Earth-616)#,Henry P. McCoy,1886,NO,male,Sep-76,1976,47,full,no_death,no_return,NA
19,http://marvel.wikia.com/Heather_Douglas_(Earth-616)#,Heather Douglas,332,NO,female,Sep-76,1976,47,full,death,return,"Dies in Defenders_Vol_1_152. Later 'Obtained a new body.' Dies in Annihilation:_Conquest_Vol_1_3. Comes back as ""As before"" also was once named Madame MacEvil because LOL. "
20,http://marvel.wikia.com/Patricia_Walker_(Earth-616)#,Patsy Walker,557,NO,female,Sep-76,1976,47,full,death,return,Died during time on Defenders. Eventually ressurected by villian Grim Reaper along with Mockingbird to fight the Avengers. 
21,http://marvel.wikia.com/Matthew_Hawk_(Earth-616)#,Matthew Liebowitz (birth name),197,NO,male,Aug-75,1975,48,full,death,return,Died during Return_to_the_Old_West. Resurrected by She Hulk in negotiation with Time Variance Authority. As a time traveller he died in 1938. Did not return
22,http://marvel.wikia.com/Robert_Frank_(Earth-616)#,Robert L. Frank Sr.,106,NO,male,Jul-78,1978,45,full,death,no_return,Died in Vision_and_the_Scarlet_Witch_Vol_1_2. Did not return however he was eventually cloned but the clone was killed immediately. 
23,http://marvel.wikia.com/Simon_Williams_(Earth-616)#,Simon Williams,692,YES,male,Mar-79,1979,44,full,death,return,Died in Avengers_Vol_1_9. Actually just in a death-like coma. 
